"OBJECTIVE_ID","OBJECTIVE_NAME"
11,"Drinking water coverage with sustainable systems increased"
13,"sewage coverage with sustainable systems increased"
19,"improved drinking water service"
21,"improved sewage sanitation service"
27,"sewage system of the city of san juan improved"
32,"improved sewage system of the city of san miguel de tucuman"
37,"drinking water system of the city of san salvador de jujuy improved"
41,"improved sanitation system of the city of mar del plata"
45,"improved sanitation system of the city of san carlos de bariloche"
49,"sanitation system of the district of moreno improved province of buenos aires"
51,"Sanitation system of the district of merlo improved province of buenos aires"
58,"road accessibility and drainage in the neighborhoods of the reconquista river basin improved"
83,"ii infrastructure and equipment increase in recovery and recycling levels and improvement in collection and final disposal services"
86,"coverage of drinking water systems extended and/or improved"
88,"coverage of sanitation systems extended and/or improved"
111,"sewage sanitation service in the districts of san miguel and moreno expanded and improved"
114,"transportation and proper disposal of effluents in berazategui outfall"
116,"expanded drinking water service coverage"
118,"expanded sanitation service coverage"
125,"reduction of water risk due to structural measures drainage works and flood control built in the pba"
141,"reduce the contaminant load from wastewater discharged into receiving bodies"
162,"increase the adequate disposal of urban solid waste"
172,"increase the coverage of the home sewage network service"
176,"reduce the discharge of wastewater from the berazategui plant in the rio de la plata"
191,"sustainable water and wastewater utility services are provided by the bwa"
211,"wastewater treatment plants are upgraded and wastewater treatment action plan prepared"
223,"solid waste disposal improved"
288,"Increased collection service coverage"
294,"sweep service coverage increased"
297,"Increased RSU disposal in landfill"
303,"increased use of solid waste"
313,"sanitation coverage is increased"
314,"the number of households with drinking water coverage increases"
315,"the agricultural area under irrigation increases"
318,"improved drinking water service for the city of el alto"
321,"improved irrigation systems for agricultural production in the jacha jahuira and khullu cachi river basins"
325,"Provided drinking water service in thirteen rural communities contributes to the basic indicator of the ppcr"
327,"water system in communities of the municipality of battles operating sustainably"
328,"income of irrigators beneficiaries of the increased program"
356,"drainage works operating according to technical design specifications"
357,"improved water quality of the katari river"
362,"access to the collection and disposal of urban solid waste in the katari basin implemented"
364,"access to the collection and disposal of urban solid waste in copacabana and tihuanacu implemented"
